job,count
learning disability nurse,4
ergonomist,3
medical sales representative,3
systems analyst,3
quantity surveyor,3
"nurse, mental health",3
pharmacologist,3
"designer, multimedia",3
tax adviser,3
tefl teacher,3
risk manager,3
"engineer, production",3
government social research officer,3
theatre director,2
"engineer, materials",2
"designer, television/film set",2
aid worker,2
charity officer,2
"teacher, english as a foreign language",2
solicitor,2
"education officer, community",2
science writer,2
"psychologist, occupational",2
"administrator, charities/voluntary organisations",2
medical physicist,2
animator,2
textile designer,2
"designer, ceramics/pottery",2
medical laboratory scientific officer,2
ranger/warden,2
recruitment consultant,2
"therapist, art",2
tourist information centre manager,2
"therapist, sports",2
"designer, fashion/clothing",2
dentist,2
"restaurant manager, fast food",2
equities trader,2
advertising art director,2
network engineer,2
medical technical officer,2
"designer, furniture",2
"designer, textile",2
"psychologist, educational",2
museum/gallery exhibitions officer,2
public relations officer,2
"conservator, furniture",2
set designer,2
teaching laboratory technician,2
corporate investment banker,2
"engineer, automotive",2
planning and development surveyor,2
operational researcher,2
television/film/video producer,2
trading standards officer,2
garment/textile technologist,2
"teacher, adult education",2
higher education lecturer,2
chartered loss adjuster,2
"accountant, chartered",2
early years teacher,2
chief technology officer,2
archivist,2
"pharmacist, community",2
holiday representative,2
"nurse, adult",2
"clinical scientist, histocompatibility and immunogenetics",2
technical sales engineer,2
adult nurse,2
regulatory affairs officer,2
clinical molecular geneticist,2
retail buyer,2
herpetologist,2
advertising account executive,2
advice worker,2
fast food restaurant manager,2
homeopath,2
glass blower/designer,2
"engineer, communications",2
prison officer,2
translator,2
"designer, industrial/product",2
"geneticist, molecular",2
politician's assistant,2
"editor, film/video",2
mental health nurse,2
technical brewer,2
"buyer, retail",2
museum/gallery curator,2
"engineer, broadcasting (operations)",1
historic buildings inspector/conservation officer,1
forest/woodland manager,1
"designer, graphic",1
tax inspector,1
"psychologist, clinical",1
product/process development scientist,1
facilities manager,1
"surveyor, mining",1
immigration officer,1
financial planner,1
legal executive,1
"surveyor, quantity",1
research scientist (maths),1
"administrator, education",1
orthoptist,1
